car_type,year,price,km,photo_url,prediccion
TESLA - MODEL 3,2023,35890,55852,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/e6ba6ba3-418b-4886-86a6-52c89a35a962?rule=hw396_70,neutral
TESLA - MODEL X,2020,69900,66000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/b8b6f1d9-e96a-468f-a390-4265cf46e5d4?rule=hw396_70,bueno
TESLA - MODEL 3,2019,23990,167000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/0df31677-ce9f-4b5d-aa92-ebfd1e7dae23?rule=hw396_70,malo
TESLA - MODEL 3,2020,24990,45063,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/7163570a-5dbf-46c8-8468-8ef335ea3762?rule=hw396_70,bueno
TESLA - MODEL 3,2021,36990,80000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/d69d88b1-1cff-42af-869d-6645345afc2a?rule=hw396_70,bueno
TESLA - MODEL 3,2019,24490,90000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/871127dc-0c2b-4937-9e13-2fa824c05128?rule=hw396_70,malo
TESLA - MODEL 3,2019,24990,171000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/56f4f81a-68b4-4296-a3c7-a4971839b84e?rule=hw396_70,malo
TESLA - MODEL 3,2020,21999,136596,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/9926b54c-2deb-4a81-8619-c7ee12622f0b?rule=hw396_70,bueno
TESLA - MODEL 3,2024,37990,27708,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/16eb8c16-2526-4104-a4e2-4e33f7713a16?rule=hw396_70,bueno
TESLA - MODEL S,2018,36900,95000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/2078de3a-3d97-4691-93b2-42ab3f928cad?rule=hw396_70,malo
TESLA - MODEL 3,2022,34900,44580,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/cde69ccb-410c-4bd4-af21-c57553c4630b?rule=hw396_70,malo
TESLA - MODEL 3,2019,23990,164000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/0f559497-95a4-443f-9bfe-39123ba42315?rule=hw396_70,malo
TESLA - MODEL 3,2019,24300,138000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/4e480a9b-2bda-40b4-83d3-bbf782678ed9?rule=hw396_70,bueno
TESLA - MODEL 3,2020,22999,83000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/60bed38c-bdf5-4acb-b53e-0b7d8cc024c4?rule=hw396_70,bueno
TESLA - MODEL 3,2022,28490,45782,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/f05ce253-4369-4eb8-bd8b-f9c315762cda?rule=hw396_70,bueno
TESLA - MODEL 3,2021,26900,106000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/ec979876-6152-42a3-bc7f-d5d4b4818569?rule=hw396_70,bueno
TESLA - MODEL 3,2020,26990,92596,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/d860df2b-3490-46fb-a5ea-7d09dbdaf43a?rule=hw396_70,bueno
TESLA - MODEL 3,2019,25000,155000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/069c818a-4380-489c-9f5f-89993458f0e1?rule=hw396_70,bueno
TESLA - MODEL 3,2020,22890,99000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/11f0ceab-0bc0-4855-800e-1a4d503f1167?rule=hw396_70,neutral
TESLA - MODEL S,2018,21490,199500,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/a34daf60-02b5-4d4d-a612-100033669d8b?rule=hw396_70,bueno
TESLA - MODEL 3,2019,27000,72000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/22200f61-df29-4e81-a54d-5fb8c3e47a12?rule=hw396_70,malo
TESLA - MODEL 3,2019,21890,129900,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/7958cf08-b69e-4367-aea6-8bed7744c6eb?rule=hw396_70,bueno
TESLA - MODEL 3,2022,35000,43000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/5220751c-64ea-4f63-9b5a-f4e9f67ae572?rule=hw396_70,bueno
TESLA - MODEL 3,2021,27500,109000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/66155d4e-f419-4956-92bb-3848022b5154?rule=hw396_70,malo
