car_type,year,price,km,prediccion,color
BMW - SERIE 2,2020.0,28990.0,91981.0,neutral,black
BMW - X2,2018.0,23490.0,107414.0,neutral,blue
PORSCHE - MACAN,2018.0,40990.0,114293.0,neutral,brown
BMW - SERIE 5,2013.0,23990.0,191000.0,neutral,brown
BMW - SERIE 1,2020.0,26490.0,70000.0,neutral,white
AUDI - A3,2020.0,25990.0,111771.0,neutral,blue
BMW - SERIE 5,2021.0,34490.0,65090.0,neutral,blue
BMW - SERIE 4,2016.0,22990.0,109620.0,neutral,blue
BMW - SERIE 4,2016.0,23490.0,121011.0,neutral,blue
BMW - SERIE 3,2021.0,28990.0,60180.0,neutral,grey
AUDI - Q3,2018.0,20490.0,140105.0,neutral,white
AUDI - A1,2018.0,16490.0,73656.0,neutral,blue
BMW - X2,2021.0,27490.0,39102.0,neutral,red
BMW - X3,2020.0,27990.0,105864.0,neutral,blue
BMW - SERIE 4,2024.0,45990.0,23798.0,neutral,beige
BMW - SERIE 2,2024.0,38490.0,22583.0,neutral,tan
AUDI - A6,2016.0,21990.0,92400.0,neutral,blue
BMW - SERIE 2,2020.0,26490.0,71638.0,neutral,grey
AUDI - A3,2020.0,21980.0,53800.0,neutral,beige
BMW - SERIE 2,2018.0,15690.0,105549.0,neutral,blue
BMW - X2,2020.0,21790.0,91465.0,neutral,black
BMW - SERIE 1,2024.0,33390.0,20160.0,neutral,blue
BMW - X1,2021.0,24790.0,98460.0,neutral,grey
AUDI - Q2,2020.0,21690.0,83385.0,neutral,blue
AUDI - Q3,2018.0,23490.0,71728.0,neutral,blue
AUDI - Q5,2017.0,27690.0,129400.0,neutral,red
BMW - X1,2024.0,43990.0,13768.0,neutral,blue
AUDI - Q2,2019.0,20290.0,64673.0,neutral,beige
AUDI - Q5,2017.0,26290.0,114989.0,neutral,red
BMW - SERIE 5,2020.0,28990.0,81398.0,neutral,black
AUDI - A5,2018.0,24990.0,147339.0,neutral,red
BMW - X4,2019.0,42490.0,136301.0,neutral,tan
BMW - SERIE 2,2018.0,16990.0,61015.0,neutral,white
AUDI - Q3,2019.0,26990.0,112481.0,neutral,tan
BMW - X1,2020.0,24790.0,77520.0,neutral,tan
BMW - SERIE 1,2024.0,33990.0,19346.0,neutral,beige
BMW - SERIE 1,2021.0,20290.0,98797.0,neutral,blue
BMW - X3,2018.0,26990.0,79666.0,neutral,red
AUDI - A1,2017.0,15990.0,108357.0,neutral,black
BMW - X6,2015.0,35490.0,168400.0,neutral,blue
AUDI - Q3,2020.0,35990.0,33000.0,neutral,black
BMW - SERIE 1,2023.0,23990.0,75410.0,neutral,tan
AUDI - Q2,2020.0,23990.0,89722.0,neutral,blue
AUDI - Q3,2020.0,29990.0,110493.0,neutral,blue
BMW - X2,2022.0,25990.0,19454.0,neutral,blue
AUDI - Q2,2023.0,31490.0,69760.0,neutral,blue
BMW - X1,2020.0,25190.0,52821.0,neutral,grey
BMW - X2,2020.0,18690.0,120252.0,neutral,white
BMW - X4,2016.0,27990.0,139104.0,neutral,blue
BMW - X4,2022.0,40490.0,42500.0,neutral,blue
BMW - X1,2019.0,20290.0,163394.0,neutral,blue
AUDI - A3,2016.0,20390.0,158707.0,neutral,grey
AUDI - A4,2023.0,29490.0,53619.0,neutral,blue
AUDI - A3,2017.0,16790.0,73205.0,neutral,grey
AUDI - A5,2023.0,39990.0,57000.0,neutral,black
BMW - X1,2023.0,36990.0,8000.0,neutral,grey
BMW - X6,2017.0,38990.0,149000.0,neutral,blue
BMW - SERIE 3,2021.0,29990.0,51000.0,neutral,red
AUDI - A7,2019.0,44990.0,126000.0,neutral,white
AUDI - Q2,2019.0,19790.0,110554.0,neutral,tan
BMW - SERIE 1,2021.0,22890.0,103562.0,neutral,grey
AUDI - A3,2018.0,17290.0,119021.0,neutral,grey
BMW - X6,2018.0,34990.0,160000.0,neutral,grey
AUDI - A1,2016.0,14490.0,53153.0,neutral,white
BMW - SERIE 3,2019.0,32490.0,84030.0,neutral,black
AUDI - A4,2018.0,25290.0,72563.0,neutral,white
AUDI - A5,2019.0,28990.0,96623.0,neutral,brown
AUDI - Q2,2019.0,35490.0,76270.0,neutral,brown
BMW - SERIE 1,2020.0,22290.0,45720.0,neutral,blue
AUDI - A1,2019.0,18990.0,62659.0,neutral,black
AUDI - Q3,2019.0,28490.0,42724.0,neutral,blue
AUDI - Q3,2021.0,32990.0,61600.0,neutral,black
AUDI - Q3,2019.0,26990.0,89300.0,neutral,blue
BMW - SERIE 3,2022.0,28490.0,73099.0,neutral,grey
AUDI - A4,2019.0,26990.0,66934.0,neutral,blue
BMW - SERIE 1,2021.0,20990.0,69351.0,neutral,tan
AUDI - Q3,2019.0,26990.0,111192.0,neutral,black
AUDI - Q5,2021.0,57990.0,85200.0,neutral,blue
AUDI - Q2,2021.0,25990.0,75000.0,neutral,white
AUDI - Q5,2017.0,22990.0,158000.0,neutral,grey
BMW - SERIE 1,2019.0,16990.0,85000.0,neutral,blue
AUDI - A1,2016.0,11790.0,124000.0,neutral,black
BMW - SERIE 3,2024.0,46990.0,28.0,neutral,white
AUDI - A4,2019.0,23970.0,103248.0,neutral,beige
BMW - X2,2020.0,26990.0,115700.0,neutral,grey
PORSCHE - MACAN,2016.0,36990.0,156097.0,neutral,black
BMW - SERIE 2,2020.0,26290.0,65774.0,neutral,black
BMW - SERIE 1,2021.0,20890.0,111954.0,neutral,tan
AUDI - Q2,2018.0,16990.0,161170.0,neutral,blue
BMW - SERIE 3,2017.0,20190.0,143000.0,neutral,blue
BMW - SERIE 1,2018.0,18390.0,99850.0,neutral,grey
AUDI - A3,2020.0,28990.0,74999.0,neutral,grey
AUDI - Q3,2020.0,31990.0,92071.0,neutral,blue
BMW - X3,2024.0,53990.0,11315.0,neutral,black
BMW - X3,2024.0,53990.0,17127.0,neutral,black
BMW - X3,2024.0,53990.0,19200.0,neutral,white
BMW - X3,2024.0,53990.0,14500.0,neutral,blue
BMW - X3,2024.0,53990.0,16540.0,neutral,black
BMW - X3,2024.0,53990.0,10784.0,neutral,blue
BMW - X3,2024.0,53990.0,14713.0,neutral,grey
BMW - X3,2024.0,53990.0,15496.0,neutral,grey
BMW - X3,2024.0,53990.0,17999.0,neutral,black
BMW - X3,2024.0,53990.0,19500.0,neutral,grey
BMW - X3,2024.0,53990.0,9615.0,neutral,red
BMW - X3,2024.0,53990.0,12854.0,neutral,red
BMW - X3,2024.0,53990.0,19000.0,neutral,beige
BMW - X3,2024.0,53990.0,19100.0,neutral,white
BMW - X3,2024.0,53990.0,16945.0,neutral,red
BMW - X3,2024.0,53990.0,11800.0,neutral,brown
BMW - X3,2024.0,53990.0,12250.0,neutral,black
BMW - X1,2020.0,21490.0,87376.0,neutral,green
AUDI - Q5,2018.0,42990.0,117811.0,neutral,tan
AUDI - Q2,2020.0,19490.0,106708.0,neutral,black
BMW - X4,2020.0,36490.0,82687.0,neutral,white
AUDI - A1,2020.0,18990.0,105000.0,neutral,white
AUDI - A3,2020.0,23390.0,50287.0,neutral,blue
BMW - X3,2019.0,21990.0,147450.0,neutral,black
BMW - X1,2023.0,35490.0,49660.0,neutral,black
BMW - X2,2021.0,26490.0,78478.0,neutral,grey
BMW - SERIE 1,2024.0,32490.0,21299.0,neutral,black
BMW - SERIE 4,2024.0,48490.0,25368.0,neutral,blue
BMW - X1,2022.0,29490.0,43220.0,neutral,blue
BMW - SERIE 1,2022.0,24490.0,74230.0,neutral,grey
BMW - X3,2021.0,35990.0,124816.0,neutral,grey
AUDI - Q5,2021.0,42490.0,94597.0,neutral,blue
AUDI - A1,2021.0,22490.0,65845.0,neutral,blue
BMW - X4,2017.0,28990.0,113500.0,neutral,red
